eventDate,decimalLatitude,decimalLongitude,individualCount,stateProvince,habitat_type,conservation_status,conservation_source
2023-01-06,-21.767344,148.754853,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-27.183446,151.273885,1,Queensland,Brigalow Belt South,Vulnerable,QLD NC Act 1992
2023-01-06,-21.737431,148.736464,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.737631,148.737258,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.709889,148.720536,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.740992,148.739167,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.740992,148.739167,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.767428,148.755128,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.76495,148.754058,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.730192,148.732589,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-06,-21.730281,148.733139,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-07,-27.89088,153.33408,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-07,-28.09381,153.45506,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-07,-28.14856,153.45945,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-07,-37.46706,144.18475,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-01-07,-28.329334,153.55137,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-01-07,-28.241607,153.511236,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-01-07,-28.330064,153.516988,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-01-07,-21.74255,148.740556,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-07,-21.739969,148.738983,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-07,-27.507136,153.079972,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-07,-21.74255,148.740556,1,Queensland,Brigalow Belt North,Vulnerable,QLD NC Act 1992
2023-01-08,-28.00691,153.26801,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-01-08,-27.91376,153.32991,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
