eventDate,decimalLatitude,decimalLongitude,individualCount,stateProvince,habitat_type,conservation_status,conservation_source
2023-02-09,-28.02375,153.31526,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-09,-37.43981,144.09135,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-09,-28.376375,153.555688,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-09,-27.56195,153.227187,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-10,-37.47616,144.09181,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-10,-27.91618,153.33137,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-10,-34.99932,138.72537,1,South Australia,Flinders Lofty Block,Rare,SA NPW Act 1972
2023-02-10,-37.47477,144.08447,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-10,-28.09972,153.45127,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-10,-27.51558,153.240804,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-11,-28.14317,153.39568,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-11,-37.48693,144.08662,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-11,-37.4357,144.1763,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-11,-28.400272,153.556836,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-11,-27.523154,152.128716,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-28.14893,153.44959,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-28.14893,153.44959,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-34.99039,138.70654,4,South Australia,Flinders Lofty Block,Rare,SA NPW Act 1972
2023-02-12,-28.11403,153.39788,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-28.09398,153.45288,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-28.10701,153.38958,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-28.394019,153.558566,1,New South Wales,South Eastern Queensland,Endangered,NSW BC Act 2016
2023-02-12,-27.432069,153.524223,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-27.432046,153.524192,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-12,-27.487127,153.409894,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-13,-37.8833,145.98441,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-13,-37.88608,145.98763,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-13,-28.09753,153.4485,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-13,-28.20138,153.40891,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-13,-28.09753,153.4485,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-13,-37.8833,145.98441,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-13,-37.8833,145.98441,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-13,-28.07645,153.22671,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-13,-37.88608,145.98763,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-13,-37.88608,145.98763,1,Victoria,South Eastern Highlands,Vulnerable,VIC FFG Act 1988
2023-02-13,-27.537808,153.254825,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-14,-37.41146,144.09968,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-14,-37.41134,144.09834,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-14,-28.13302,153.45408,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
2023-02-14,-37.4013,144.09966,1,Victoria,Victorian Midlands,Vulnerable,VIC FFG Act 1988
2023-02-14,-28.10378,153.33537,1,Queensland,South Eastern Queensland,Vulnerable,QLD NC Act 1992
